model,hyperparameters,time,accuracy
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 38, 'accuracy': 0.7849462365591398}",0.0728657245635986,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 35, 'accuracy': 0.7849462365591398}",0.023989200592041,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 59, 'accuracy': 0.7795698924731183}",0.039003849029541,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 16, 'accuracy': 0.7849462365591398}",0.1265580654144287,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 41, 'accuracy': 0.7956989247311828}",0.0638635158538818,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 6, 'accuracy': 0.8387096774193549}",0.0454130172729492,0.8387096774193549
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 21, 'accuracy': 0.7795698924731183}",0.0269970893859863,0.7795698924731183
KNeighborsClassifier,"{'n_neighbors': 17, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 30, 'p': 2, 'metric': 'manhattan', 'accuracy': 0.7150537634408602}",0.1399667263031005,0.7150537634408602
KNeighborsClassifier,"{'n_neighbors': 4, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 26, 'p': 2, 'metric': 'manhattan', 'accuracy': 0.6989247311827957}",0.0379729270935058,0.6989247311827957
KNeighborsClassifier,"{'n_neighbors': 19, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 19, 'p': 2, 'metric': 'manhattan', 'accuracy': 0.7150537634408602}",0.1822195053100586,0.7150537634408602
KNeighborsClassifier,"{'n_neighbors': 1, 'weights': 'uniform', 'algorithm': 'kd_tree', 'leaf_size': 34, 'p': 2, 'metric': 'euclidean', 'accuracy': 0.6505376344086021}",0.069462776184082,0.6505376344086021
KNeighborsClassifier,"{'n_neighbors': 18, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 29, 'p': 2, 'metric': 'manhattan', 'accuracy': 0.7258064516129032}",0.171004056930542,0.7258064516129032
KNeighborsClassifier,"{'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 30, 'p': 1, 'metric': 'minkowski', 'accuracy': 0.6989247311827957}",0.135913610458374,0.6989247311827957
KNeighborsClassifier,"{'n_neighbors': 16, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 22, 'p': 3, 'metric': 'minkowski', 'accuracy': 0.7150537634408602}",0.2097103595733642,0.7150537634408602
KNeighborsClassifier,"{'n_neighbors': 10, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 30, 'p': 2, 'metric': 'euclidean', 'accuracy': 0.6989247311827957}",0.0360012054443359,0.6989247311827957
KNeighborsClassifier,"{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 33, 'p': 2, 'metric': 'manhattan', 'accuracy': 0.6666666666666666}",0.0330021381378173,0.6666666666666666
KNeighborsClassifier,"{'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 16, 'p': 2, 'metric': 'euclidean', 'accuracy': 0.6989247311827957}",0.0279994010925292,0.6989247311827957
KNeighborsClassifier,"{'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 11, 'p': 2, 'metric': 'minkowski', 'accuracy': 0.6935483870967742}",0.1124553680419921,0.6935483870967742
